L,Lambda,tau,k,ones_Rk,new_k,a_k_first_zero_of_Rkm1,lowerhalf_zeros_Rk,upperhalf_zeros_Rk,first_zero_Rk,seconds
23,5354228880,1920,0,1,1,0,2677114439,2677114440,1,0
23,5354228880,1920,1,1920,1919,1,2677112521,2677114439,25,4.68
23,5354228880,1920,2,937823,935903,25,2676178536,2677112521,5671,0.32
23,5354228880,1920,3,80181647,79243824,5671,2597868697,2676178536,2486867,11.39
23,5354228880,1920,4,1075633815,995452168,2486867,1680726368,2597868697,110265329,27.12
23,5354228880,1920,5,3505514930,2429881115,110265329,167987582,1680726368,1039438397,25.69
23,5354228880,1920,6,5186241298,1680726368,1039438397,0,167987582,3716552837,8.70
23,5354228880,1920,7,5354228880,167987582,3716552837,0,0,5354228880,0.72
