L,Lambda,tau,k,ones_Rk,new_k,a_k_first_zero_of_Rkm1,lowerhalf_zeros_Rk,upperhalf_zeros_Rk,first_zero_Rk,seconds
18,12252240,480,0,1,1,0,6126119,6126120,1,0
18,12252240,480,1,480,479,1,6125641,6126119,19,0.00
18,12252240,480,2,54231,53751,19,6072368,6125641,1523,0.00
18,12252240,480,3,1207072,1152841,1523,4972800,6072368,83471,0.03
18,12252240,480,4,5892646,4685574,83471,1386794,4972800,1329943,0.04
18,12252240,480,5,10863962,4971316,1329943,1484,1386794,5414023,0.03
18,12252240,480,6,12250756,1386794,5414023,0,1484,11540143,0.01
18,12252240,480,7,12252240,1484,11540143,0,0,12252240,0.01
