L,Lambda,tau,k,ones_Rk,new_k,a_k_first_zero_of_Rkm1,lowerhalf_zeros_Rk,upperhalf_zeros_Rk,first_zero_Rk,seconds
15,360360,192,0,1,1,0,180179,180180,1,0
15,360360,192,1,192,191,1,179989,180179,16,0.00
15,360360,192,2,8696,8504,16,171675,179989,571,0.00
15,360360,192,3,87714,79018,571,100971,171675,11797,0.00
15,360360,192,4,251836,164122,11797,7553,100971,89143,0.02
15,360360,192,5,352807,100971,89143,0,7553,269323,0.05
15,360360,192,6,360360,7553,269323,0,0,360360,0.07
