L,Lambda,tau,k,ones_Rk,new_k,a_k_first_zero_of_Rkm1,lowerhalf_zeros_Rk,upperhalf_zeros_Rk,first_zero_Rk,seconds
25,26771144400,2880,0,1,1,0,13385572199,13385572200,1,0
25,26771144400,2880,1,2880,2879,1,13385569321,13385572199,27,22.32
25,26771144400,2880,2,2062624,2059744,27,13383512455,13385569321,10103,2.35
25,26771144400,2880,3,244906585,242843961,10103,13142725360,13383512455,5959627,71.65
25,26771144400,2880,4,4205881648,3960975063,5959627,9422537392,13142725360,381174281,195.72
25,26771144400,2880,5,15909571823,11703690175,381174281,1439035185,9422537392,3805051219,200.92
25,26771144400,2880,6,25332108057,9422536234,3805051219,1158,1439035185,13192321591,77.94
25,26771144400,2880,7,26771143242,1439035185,13192321591,0,1158,26577893791,5.35
25,26771144400,2880,8,26771144400,1158,26577893791,0,0,26771144400,2.67
