L,Lambda,tau,k,ones_Rk,new_k,a_k_first_zero_of_Rkm1,lowerhalf_zeros_Rk,upperhalf_zeros_Rk,first_zero_Rk,seconds
19,232792560,960,0,1,1,0,116396279,116396280,1,0
19,232792560,960,1,960,959,1,116395321,116396279,23,0.06
19,232792560,960,2,224532,223572,23,116172707,116395321,3823,0.03
19,232792560,960,3,9631654,9407122,3823,106988199,116172707,481319,0.97
19,232792560,960,4,75782123,66150469,481319,50022238,106988199,10252523,1.42
19,232792560,960,5,181543732,105761609,10252523,1226590,50022238,69837763,1.06
19,232792560,960,6,231565970,50022238,69837763,0,1226590,186234043,0.35
19,232792560,960,7,232792560,1226590,186234043,0,0,232792560,0.07
