L,Lambda,tau,k,ones_Rk,new_k,a_k_first_zero_of_Rkm1,lowerhalf_zeros_Rk,upperhalf_zeros_Rk,first_zero_Rk,seconds
8,840,32,0,1,1,0,419,420,1,0
8,840,32,1,32,31,1,389,419,9,0.00
8,840,32,2,253,221,9,198,389,53,0.00
8,840,32,3,633,380,53,9,198,349,0.00
8,840,32,4,831,198,349,0,9,769,0.00
8,840,32,5,840,9,769,0,0,840,0.00
