L,Lambda,tau,k,ones_Rk,new_k,a_k_first_zero_of_Rkm1,lowerhalf_zeros_Rk,upperhalf_zeros_Rk,first_zero_Rk,seconds
16,720720,240,0,1,1,0,360359,360360,1,0
16,720720,240,1,240,239,1,360121,360359,17,0.00
16,720720,240,2,13056,12816,17,347543,360121,683,0.00
16,720720,240,3,151436,138380,683,221741,347543,19441,0.00
16,720720,240,4,475231,323795,19441,23748,221741,167723,0.00
16,720720,240,5,696972,221741,167723,0,23748,528083,0.00
16,720720,240,6,720720,23748,528083,0,0,720720,0.00
