L,Lambda,tau,k,ones_Rk,new_k,a_k_first_zero_of_Rkm1,lowerhalf_zeros_Rk,upperhalf_zeros_Rk,first_zero_Rk,seconds
9,2520,48,0,1,1,0,1259,1260,1,0
9,2520,48,1,48,47,1,1213,1259,11,0.00
9,2520,48,2,524,476,11,783,1213,137,0.00
9,2520,48,3,1643,1119,137,94,783,767,0.00
9,2520,48,4,2426,783,767,0,94,2027,0.00
9,2520,48,5,2520,94,2027,0,0,2520,0.00
