L,Lambda,tau,k,ones_Rk,new_k,a_k_first_zero_of_Rkm1,lowerhalf_zeros_Rk,upperhalf_zeros_Rk,first_zero_Rk,seconds
11,27720,96,0,1,1,0,13859,13860,1,0
11,27720,96,1,96,95,1,13765,13859,13,0.00
11,27720,96,2,2130,2034,13,11825,13765,247,0.00
11,27720,96,3,11740,9610,247,4155,11825,3049,0.00
11,27720,96,4,23543,11803,3049,22,4155,12289,0.00
11,27720,96,5,27698,4155,12289,0,22,26149,0.00
11,27720,96,6,27720,22,26149,0,0,27720,0.00
