L,Lambda,tau,k,ones_Rk,new_k,a_k_first_zero_of_Rkm1,lowerhalf_zeros_Rk,upperhalf_zeros_Rk,first_zero_Rk,seconds
7,420,24,0,1,1,0,209,210,1,0
7,420,24,1,24,23,1,187,209,8,0.00
7,420,24,2,155,131,8,78,187,53,0.00
7,420,24,3,341,186,53,1,78,208,0.00
7,420,24,4,419,78,208,0,1,418,0.00
7,420,24,5,420,1,418,0,0,420,0.00
