a,a_over_Lambda,a_minus_half
26762175997,0.99966500,13376603797
26762176759,0.99966503,13376604559
26762179999,0.99966515,13376607799
26762182397,0.99966524,13376610197
26762184653,0.99966532,13376612453
26762184929,0.99966533,13376612729
26762186443,0.99966539,13376614243
26762187589,0.99966543,13376615389
26762187827,0.99966544,13376615627
26762191081,0.99966556,13376618881
26762191109,0.99966556,13376618909
26762192423,0.99966561,13376620223
26762193037,0.99966563,13376620837
26762193473,0.99966565,13376621273
26762195063,0.99966571,13376622863
26762195543,0.99966573,13376623343
26762224583,0.99966681,13376652383
26762230193,0.99966702,13376657993
26762233163,0.99966713,13376660963
26762233847,0.99966716,13376661647
26762261567,0.99966819,13376689367
26762299189,0.99966960,13376726989
26762432623,0.99967458,13376860423
26762450873,0.99967527,13376878673
26762514859,0.99967766,13376942659
26762730389,0.99968571,13377158189
26762879237,0.99969127,13377307037
26762936831,0.99969342,13377364631
26763084749,0.99969894,13377512549
26763147769,0.99970130,13377575569
26763274379,0.99970603,13377702179
26763287827,0.99970653,13377715627
26763291869,0.99970668,13377719669
26763485057,0.99971390,13377912857
26763497359,0.99971436,13377925159
26763610031,0.99971856,13378037831
26763683369,0.99972130,13378111169
26763691349,0.99972160,13378119149
26763755237,0.99972399,13378183037
26764139657,0.99973835,13378567457
26764155203,0.99973893,13378583003
26764161253,0.99973915,13378589053
26764183027,0.99973997,13378610827
26764183573,0.99973999,13378611373
26764192967,0.99974034,13378620767
26764196843,0.99974048,13378624643
26764198663,0.99974055,13378626463
26764202249,0.99974069,13378630049
26764203883,0.99974075,13378631683
26764208789,0.99974093,13378636589
26764213669,0.99974111,13378641469
26764261547,0.99974290,13378689347
26764266383,0.99974308,13378694183
26764266539,0.99974309,13378694339
26764270007,0.99974322,13378697807
26764275997,0.99974344,13378703797
26764279469,0.99974357,13378707269
26764279627,0.99974358,13378707427
26764281457,0.99974364,13378709257
26764281979,0.99974366,13378709779
26764282049,0.99974367,13378709849
26764282273,0.99974367,13378710073
26764283839,0.99974373,13378711639
26764289749,0.99974395,13378717549
26764290779,0.99974399,13378718579
26764291187,0.99974401,13378718987
26764291847,0.99974403,13378719647
26764297517,0.99974424,13378725317
26764300837,0.99974437,13378728637
26764305457,0.99974454,13378733257
26764305679,0.99974455,13378733479
26764305889,0.99974456,13378733689
26764306993,0.99974460,13378734793
26764311001,0.99974475,13378738801
26764324927,0.99974527,13378752727
26764365457,0.99974678,13378793257
26764368239,0.99974689,13378796039
26764371857,0.99974702,13378799657
26764378189,0.99974726,13378805989
26764379897,0.99974732,13378807697
26764381577,0.99974738,13378809377
26764829057,0.99976410,13379256857
26764865269,0.99976545,13379293069
26764889579,0.99976636,13379317379
26764947899,0.99976854,13379375699
26764985909,0.99976996,13379413709
26765142617,0.99977581,13379570417
26765148197,0.99977602,13379575997
26765200139,0.99977796,13379627939
26765204567,0.99977813,13379632367
26765206253,0.99977819,13379634053
26765223377,0.99977883,13379651177
26765229889,0.99977907,13379657689
26765244953,0.99977963,13379672753
26765246747,0.99977970,13379674547
26765251817,0.99977989,13379679617
26765253409,0.99977995,13379681209
26765253497,0.99977995,13379681297
26765262317,0.99978028,13379690117
26765263757,0.99978034,13379691557
26765264849,0.99978038,13379692649
26765266243,0.99978043,13379694043
26765268359,0.99978051,13379696159
26765269327,0.99978054,13379697127
26765269337,0.99978054,13379697137
26765282569,0.99978104,13379710369
26765285179,0.99978114,13379712979
26765286157,0.99978117,13379713957
26765298949,0.99978165,13379726749
26765300689,0.99978172,13379728489
26765305709,0.99978190,13379733509
26765307599,0.99978197,13379735399
26765313563,0.99978220,13379741363
26765313697,0.99978220,13379741497
26765315461,0.99978227,13379743261
26765316427,0.99978230,13379744227
26765318269,0.99978237,13379746069
26765318761,0.99978239,13379746561
26765319149,0.99978241,13379746949
26765321327,0.99978249,13379749127
26765395073,0.99978524,13379822873
26765396837,0.99978531,13379824637
26765404889,0.99978561,13379832689
26765411789,0.99978587,13379839589
26765493089,0.99978890,13379920889
26765497769,0.99978908,13379925569
26765504177,0.99978932,13379931977
26765510267,0.99978954,13379938067
