a,a_over_Lambda,a_minus_half
26771043379,0.99999623,13385471179
26771043977,0.99999625,13385471777
26771044187,0.99999626,13385471987
26771044873,0.99999628,13385472673
26771045303,0.99999630,13385473103
26771045773,0.99999632,13385473573
26771045801,0.99999632,13385473601
26771046007,0.99999632,13385473807
26771046319,0.99999634,13385474119
26771047417,0.99999638,13385475217
26771047561,0.99999638,13385475361
26771047703,0.99999639,13385475503
26771047769,0.99999639,13385475569
26771048149,0.99999640,13385475949
26771048627,0.99999642,13385476427
26771049749,0.99999646,13385477549
26771050277,0.99999648,13385478077
26771050349,0.99999649,13385478149
26771051807,0.99999654,13385479607
26771051929,0.99999655,13385479729
26771051959,0.99999655,13385479759
26771052059,0.99999655,13385479859
26771052227,0.99999656,13385480027
26771052487,0.99999657,13385480287
26771052661,0.99999657,13385480461
26771053189,0.99999659,13385480989
26771053259,0.99999660,13385481059
26771054237,0.99999663,13385482037
26771054327,0.99999664,13385482127
26771054789,0.99999665,13385482589
26771055457,0.99999668,13385483257
26771055629,0.99999668,13385483429
26771055867,0.99999669,13385483667
26771055889,0.99999669,13385483689
26771055929,0.99999670,13385483729
26771056307,0.99999671,13385484107
26771056547,0.99999672,13385484347
26771056657,0.99999672,13385484457
26771056787,0.99999673,13385484587
26771057317,0.99999675,13385485117
26771057501,0.99999675,13385485301
26771057681,0.99999676,13385485481
26771057867,0.99999677,13385485667
26771058233,0.99999678,13385486033
26771058359,0.99999679,13385486159
26771058658,0.99999680,13385486458
26771058793,0.99999680,13385486593
26771059031,0.99999681,13385486831
26771059787,0.99999684,13385487587
26771060219,0.99999686,13385488019
26771061519,0.99999690,13385489319
26771061737,0.99999691,13385489537
26771062333,0.99999693,13385490133
26771064247,0.99999701,13385492047
26771064403,0.99999701,13385492203
26771064457,0.99999701,13385492257
26771064767,0.99999703,13385492567
26771064821,0.99999703,13385492621
26771064863,0.99999703,13385492663
26771066471,0.99999709,13385494271
26771066611,0.99999709,13385494411
26771066977,0.99999711,13385494777
26771067689,0.99999713,13385495489
26771068249,0.99999716,13385496049
26771068447,0.99999716,13385496247
26771069033,0.99999718,13385496833
26771070077,0.99999722,13385497877
26771070367,0.99999723,13385498167
26771070449,0.99999724,13385498249
26771070493,0.99999724,13385498293
26771070497,0.99999724,13385498297
26771071139,0.99999726,13385498939
26771071153,0.99999726,13385498953
26771071469,0.99999728,13385499269
26771071709,0.99999728,13385499509
26771071949,0.99999729,13385499749
26771071979,0.99999729,13385499779
26771072261,0.99999731,13385500061
26771072729,0.99999732,13385500529
26771072761,0.99999732,13385500561
26771073071,0.99999734,13385500871
26771073223,0.99999734,13385501023
26771073419,0.99999735,13385501219
26771073543,0.99999735,13385501343
26771073907,0.99999737,13385501707
26771074249,0.99999738,13385502049
26771074719,0.99999740,13385502519
26771074787,0.99999740,13385502587
26771074939,0.99999741,13385502739
26771075017,0.99999741,13385502817
26771075027,0.99999741,13385502827
26771075099,0.99999741,13385502899
26771075141,0.99999741,13385502941
26771075237,0.99999742,13385503037
26771076529,0.99999746,13385504329
26771076719,0.99999747,13385504519
26771076919,0.99999748,13385504719
26771078429,0.99999754,13385506229
26771078699,0.99999755,13385506499
26771078897,0.99999755,13385506697
26771078929,0.99999755,13385506729
26771079107,0.99999756,13385506907
26771079539,0.99999758,13385507339
26771079791,0.99999759,13385507591
26771080109,0.99999760,13385507909
26771080423,0.99999761,13385508223
26771080439,0.99999761,13385508239
26771080547,0.99999761,13385508347
26771080597,0.99999762,13385508397
26771080627,0.99999762,13385508427
26771080819,0.99999763,13385508619
26771081023,0.99999763,13385508823
26771081231,0.99999764,13385509031
26771081297,0.99999764,13385509097
26771081299,0.99999764,13385509099
26771081387,0.99999765,13385509187
26771081407,0.99999765,13385509207
26771081837,0.99999766,13385509637
26771082193,0.99999768,13385509993
26771082997,0.99999771,13385510797
26771084909,0.99999778,13385512709
26771085299,0.99999779,13385513099
26771086561,0.99999784,13385514361
26771087081,0.99999786,13385514881
26771087237,0.99999786,13385515037
26771087449,0.99999787,13385515249
26771087587,0.99999788,13385515387
26771088049,0.99999790,13385515849
26771088277,0.99999790,13385516077
26771088299,0.99999790,13385516099
26771088479,0.99999791,13385516279
26771088689,0.99999792,13385516489
26771088931,0.99999793,13385516731
26771089369,0.99999794,13385517169
26771089753,0.99999796,13385517553
26771090107,0.99999797,13385517907
26771090243,0.99999798,13385518043
26771090369,0.99999798,13385518169
26771090439,0.99999798,13385518239
26771090579,0.99999799,13385518379
26771090887,0.99999800,13385518687
26771090923,0.99999800,13385518723
26771090989,0.99999800,13385518789
26771091019,0.99999801,13385518819
26771091271,0.99999802,13385519071
26771091539,0.99999803,13385519339
26771091931,0.99999804,13385519731
26771092651,0.99999807,13385520451
26771093099,0.99999808,13385520899
26771093153,0.99999809,13385520953
26771093474,0.99999810,13385521274
26771093623,0.99999810,13385521423
26771093693,0.99999811,13385521493
26771093923,0.99999811,13385521723
26771094209,0.99999813,13385522009
26771094239,0.99999813,13385522039
26771094477,0.99999814,13385522277
26771094949,0.99999815,13385522749
26771094967,0.99999815,13385522767
26771095339,0.99999817,13385523139
26771095487,0.99999817,13385523287
26771095757,0.99999818,13385523557
26771096267,0.99999820,13385524067
26771096837,0.99999822,13385524637
26771097553,0.99999825,13385525353
26771097754,0.99999826,13385525554
26771097809,0.99999826,13385525609
26771099863,0.99999834,13385527663
26771100379,0.99999836,13385528179
26771100399,0.99999836,13385528199
26771100443,0.99999836,13385528243
26771100509,0.99999836,13385528309
26771100869,0.99999837,13385528669
26771100919,0.99999838,13385528719
26771101801,0.99999841,13385529601
26771102381,0.99999843,13385530181
26771104927,0.99999853,13385532727
26771105201,0.99999854,13385533001
26771105389,0.99999854,13385533189
26771105411,0.99999854,13385533211
26771105917,0.99999856,13385533717
26771106067,0.99999857,13385533867
26771106377,0.99999858,13385534177
26771106559,0.99999859,13385534359
26771106587,0.99999859,13385534387
26771106839,0.99999860,13385534639
26771107213,0.99999861,13385535013
26771107241,0.99999861,13385535041
26771107397,0.99999862,13385535197
26771107607,0.99999863,13385535407
26771108134,0.99999865,13385535934
26771109177,0.99999868,13385536977
26771109413,0.99999869,13385537213
26771109679,0.99999870,13385537479
26771110783,0.99999874,13385538583
26771110913,0.99999875,13385538713
26771111047,0.99999875,13385538847
26771111467,0.99999877,13385539267
26771111657,0.99999878,13385539457
26771113547,0.99999885,13385541347
26771113553,0.99999885,13385541353
26771113757,0.99999886,13385541557
26771114198,0.99999887,13385541998
26771114281,0.99999887,13385542081
26771114387,0.99999888,13385542187
26771114467,0.99999888,13385542267
26771114873,0.99999890,13385542673
26771115557,0.99999892,13385543357
26771115757,0.99999893,13385543557
26771116387,0.99999895,13385544187
26771116721,0.99999897,13385544521
26771116751,0.99999897,13385544551
26771117753,0.99999900,13385545553
26771117759,0.99999900,13385545559
26771117969,0.99999901,13385545769
26771118027,0.99999901,13385545827
26771118497,0.99999903,13385546297
26771118653,0.99999904,13385546453
26771118697,0.99999904,13385546497
26771118749,0.99999904,13385546549
26771119157,0.99999906,13385546957
26771119469,0.99999907,13385547269
26771119787,0.99999908,13385547587
26771119823,0.99999908,13385547623
26771119874,0.99999908,13385547674
26771119889,0.99999908,13385547689
26771120317,0.99999910,13385548117
26771120659,0.99999911,13385548459
26771120861,0.99999912,13385548661
26771120863,0.99999912,13385548663
26771121343,0.99999914,13385549143
26771121409,0.99999914,13385549209
26771121667,0.99999915,13385549467
26771121827,0.99999916,13385549627
26771122447,0.99999918,13385550247
26771125019,0.99999928,13385552819
26771125567,0.99999930,13385553367
26771125867,0.99999931,13385553667
26771126399,0.99999933,13385554199
26771126449,0.99999933,13385554249
26771126453,0.99999933,13385554253
26771126539,0.99999933,13385554339
26771126549,0.99999933,13385554349
26771127079,0.99999935,13385554879
26771127389,0.99999936,13385555189
26771127491,0.99999937,13385555291
26771128133,0.99999939,13385555933
26771128339,0.99999940,13385556139
26771128399,0.99999940,13385556199
26771128667,0.99999941,13385556467
26771129101,0.99999943,13385556901
26771129273,0.99999943,13385557073
26771130779,0.99999949,13385558579
26771131039,0.99999950,13385558839
26771131337,0.99999951,13385559137
26771131729,0.99999953,13385559529
26771132137,0.99999954,13385559937
26771132543,0.99999956,13385560343
26771134139,0.99999962,13385561939
26771134307,0.99999962,13385562107
26771134909,0.99999965,13385562709
26771135423,0.99999966,13385563223
26771136487,0.99999970,13385564287
26771137397,0.99999974,13385565197
26771137469,0.99999974,13385565269
26771137742,0.99999975,13385565542
26771138081,0.99999976,13385565881
26771138099,0.99999976,13385565899
26771138827,0.99999979,13385566627
26771139359,0.99999981,13385567159
26771140117,0.99999984,13385567917
26771140189,0.99999984,13385567989
26771140343,0.99999985,13385568143
26771141009,0.99999987,13385568809
26771141473,0.99999989,13385569273
26771142157,0.99999992,13385569957
26771142161,0.99999992,13385569961
26771142397,0.99999993,13385570197
26771142499,0.99999993,13385570299
26771143079,0.99999995,13385570879
26771143337,0.99999996,13385571137
26771143517,0.99999997,13385571317
26771143909,0.99999998,13385571709
26771143967,0.99999998,13385571767
26771144003,0.99999999,13385571803
26771144063,0.99999999,13385571863
26771144093,0.99999999,13385571893
26771144107,0.99999999,13385571907
26771144177,0.99999999,13385571977
